Item 1,Item 2,Frequência (%)
NARIZ COGESTIONADO,REAVALIAÇÃO( RESFRIADO COMUN),1.0
DOR LOCAL,VERMELHIDÃO,1.0
DOR DE DENTE,RELATA DOR DE DENTE,1.0
FURUNCULO,DOR LOCAL,1.0
CORIZA,RESFRIADO COMUM,1.0
DOR DE CABEÇA,CEFALEIA,1.0
DOR INTENSA,CEFALEIA,1.0
FRAQUEZA,CEFALEIA,1.0
USCULAR,CEFALEIA,1.0
CONSTIPAÇÃO,COCO DURO,1.0
IRRITAÇÃO OCULAR,CONJUTUVITE,1.0
CORIZA,DOR NA GARGANTA 3 DIAS,1.0
FEBRE,CORIZA E HIPEREMIA FARINGIA,1.0
DOR LOCAL,EDEMA,1.0
TOSSE,CORIZA E HIPEREMIA FARINGIA,1.0
CORIZA NASAL,RESFRIADO COMUM,1.0
CORRIZA,FEBRE,1.0
CORRIZA,RESFRIADO COMUM,1.0
CORRIZA.,RESFRIADO COMUM,1.0
CORTE NO JOELHO,SUTURA,1.0
DESIDRATAÇÃO,DESIDRATAÇAÕ,1.0
DIARREIA,CEFALEIA,1.0
SECREÇÃO ( LEITE CUADA),CANDIDIASI,1.0
ODOR,CANDIDIASI,1.0
DOR BAIXO PELVICO,CANDIDIASI,1.0
AP - SEMALTERAÕES,DOR NA GARGANTA 3 DIAS,1.0
TOSSE,AP - SEMALTERAÕES,1.0
AP-SEM ALTERAÇÃO,FEBRE,1.0
AP-SEM ALTERAÇÃO,TOSSE,1.0
GRIPE,APRESENTA CORIZA SEM TOSSE,1.0
APRESENTA FERIMENTO NA PERNA,CURATIVO,1.0
IMPETIGO,APRESENTE FERIDAS NOS MEBROS INFERIORES,1.0
DOR NA REGIÃO HIPOGASTRICA,AR DOR AO URINAR,1.0
INFECÇÃO URINARIA,AR DOR AO URINAR,1.0
DOR BV,ATRASO MENSTRUAL,1.0
ENJOO,ATRASO MENSTRUAL,1.0
GRAVIDEZ?,ATRASO MENSTRUAL,1.0
COCO DURO,AUSENCIA DE EVACUAR,1.0
CONSTIPAÇÃO,AUSENCIA DE EVACUAR,1.0
CEFALEIA E DOR NA ARTICULAÇÃO DE OMBRO DIREITO LONGA DURAÇÃO,BURSITE,1.0
DESMAIO,SINCOPE,1.0
GECA,DIARREI,1.0
DIARREI,VOMITO,1.0
DOR ABDOMINAL,DOR EPIGASTRICA,1.0
DOR NA REGIÃO HIPOGASTRICA,DOR ABDOMINAL,1.0
DOR ABDOMINAL,QUE PIORA NA MENSTRUAÇÃO,1.0
SEM DIARREIA,DOR ABDOMINAL,1.0
SEM DIARREIA,DOR ABDOMINAL A UM DIA,1.0
DOR AO MOVIMENTAR,LESÕES NO OMBRO,1.0
DOR BAIXO PELVICO,ODOR,1.0
SECREÇÃO ( LEITE CUADA),DOR BAIXO PELVICO,1.0
DOR BV,ENJOO,1.0
DOR BV,GRAVIDEZ?,1.0
PUNHO PERCURSAO NEGATIVA,DOR BV,1.0
DOR CORPOREA E CORIZA,DOR MUSCULAR,1.0
TOSSE,DOR DE DARGANTA E TOSSE,1.0
CORIZA,AP - SEMALTERAÕES,1.0
ODONTALGIA,DOR DENTE,1.0
INFECÇÃO URINARIA,DOR E ARDOR AO URINAR,1.0
DOR NA REGIÃO EPIGASTRICA,DOR ABDOMINAL,1.0
DOR EM QUADRANTE INFERIOR ABDOMINAL,DOR ABDOMINAL,1.0
DIARREIA,DIARREIA COM FEBRE,1.0
DOR ABDOMINAL A UM DIA,DOR ABDOMINAL,1.0
DIARREIA COM VOMITOS,DIARREIA,1.0
DIARREIA SEM VOMITOS,DIARREIA,1.0
FRAQUEZA,DIARREIA,1.0
REAVALIAÇÃO( GECA),DIARREIA,1.0
USCULAR,DIARREIA,1.0
DIARREIA COM SANGUE,GECA,1.0
DOR LOCAL,DISTENÇAO MUSCULAR,1.0
EDEMA,DISTENÇAO MUSCULAR,1.0
DOR ABDOMINAL,DOR,1.0
FARINGAMIGDALITE,DOR,1.0
GASTRITE,DOR,1.0
INCHADO,DOR,1.0
MIALGIA,DOR,1.0
PLACA DE PUS,DOR,1.0
QUEIMAÇAÕ,DOR,1.0
TOSSE SECA 4 DIAS,TOSSE,1.0
